FBpp_ID	Species	muscle_dietM	whole_body_dietM	muscle_dietP	whole_body_dietP
FBpp0310389	Dmel	0.126628043823167	0.494049618404882	0.0650633104744342	0.314259027297517
FBpp0077594	Dmel	0	0.170455499813552	0.691228626951044	0.138315873235403
FBpp0077595	Dmel	0	0.500986414439487	0.00363877139065514	0.495374814169858
FBpp0077596	Dmel	0	0.526815029683914	0	0.473184970316086
FBpp0077597	Dmel	0	0.379882081808514	0	0.620117918191486
FBpp0077602	Dmel	0.0106754779460107	0.506394492681398	0.0152947015748161	0.467635327797775
FBpp0306854	Dmel	0.252378846117334	0.267271918630169	0.224458927869861	0.255890307382636
FBpp0077585	Dmel	0	0.55320657065635	0.00511045485260581	0.441682974491045
FBpp0113046	Dmel	0	0.488809261882721	0.199402476730259	0.31178826138702
FBpp0077541	Dmel	0.152942501770509	0.405850608801069	0.0831665467999122	0.358040342628509
FBpp0077542	Dmel	0.0802688547265906	0.417804933943594	0.0663947016124631	0.435531509717353
FBpp0423153	Dmel	0.28237101504603	0.221656413155354	0.276095347189555	0.219877224609062
FBpp0077583	Dmel	0.0284742124964172	0.491353799106847	0.0305029629984681	0.449669025398268
FBpp0077582	Dmel	0.243098434793188	0.261320811517233	0.228284003683154	0.267296750006425
FBpp0077544	Dmel	0.223911774468874	0.287450923920195	0.197288615811605	0.291348685799326
FBpp0077581	Dmel	0.249167989046975	0.256143553550294	0.245766493073017	0.248921964329714
FBpp0292932	Dmel	0.230920389811256	0.280318371822268	0.213675980628628	0.275085257737848
FBpp0077549	Dmel	0.254451753953015	0.245052007263058	0.24890580938233	0.251590429401598
FBpp0077578	Dmel	0.247106086017952	0.26243716733274	0.230256579819437	0.260200166829872
FBpp0077550	Dmel	0.217365727861755	0.287422419272266	0.20834496361221	0.286866889253769
FBpp0077577	Dmel	0.263989062388517	0.235520825396559	0.256982935377938	0.243507176836986
FBpp0077576	Dmel	0.238810880404703	0.258839595907887	0.232464707658926	0.269884816028483
FBpp0077571	Dmel	0.239999890348728	0.257206871251581	0.26083695088398	0.241956287515711
FBpp0077551	Dmel	0.280942189862648	0.230584842768046	0.250911229917257	0.237561737452049
FBpp0077552	Dmel	0.255277814937909	0.252976788395574	0.244693058748631	0.247052337917887
FBpp0077570	Dmel	0.270978315183661	0.2328023740871	0.252692902428195	0.243526408301044
FBpp0077553	Dmel	0.237159067376433	0.248080136774794	0.260674510713118	0.254086285135654
FBpp0077569	Dmel	0.243772037403094	0.254900624826961	0.236432824268707	0.264894513501238
FBpp0077555	Dmel	0.00900457677938314	0.55309641572578	0	0.437899007494837
FBpp0077568	Dmel	0	0.519196768068945	0	0.480803231931055
FBpp0077567	Dmel	0.0365393865210885	0.470203145935505	0.0227357390312276	0.470521728512179
FBpp0077556	Dmel	0.576548160977651	0	0	0.423451839022349
FBpp0301799	Dmel	0	0.347278136668429	0	0.652721863331571
FBpp0077566	Dmel	0	0.658922619002126	0	0.341077380997874
FBpp0099546	Dmel	0	1	0	0
FBpp0077565	Dmel	0	1	0	0
FBpp0077564	Dmel	0	0.49854876177578	0.00285154976561372	0.498599688458607
FBpp0423066	Dmel	0.0174015004137344	0.540831043567512	0	0.441767456018753
FBpp0077562	Dmel	0.00550711566626117	0.514372435853009	0.00269054645801257	0.477429902022717
FBpp0088727	Dmel	0.00871611840463821	0.492212852066424	0.0338273821174428	0.465243647411495
FBpp0077561	Dmel	0.122084219711328	0.372681266238565	0.114091065237756	0.391143448812351
FBpp0077559	Dmel	0.00271362536844396	0.525972069520381	0.00227881548678528	0.46903548962439
FBpp0423052	Dmel	0.0684951283249028	0.269901639970427	0.334000565220603	0.327602666484066
FBpp0305221	Dmel	0.239532249100591	0.270620065051025	0.217646507142274	0.27220117870611
FBpp0077540	Dmel	0	0.508533892956052	0.00677450867483308	0.484691598369115
FBpp0300171	Dmel	0	0.499945713226329	0	0.500054286773671
FBpp0303235	Dmel	0.00498658148392053	0.457884286362073	0.0655385725476656	0.471590559606341
FBpp0077489	Dmel	0.259016033067585	0.240951299473126	0.25490396448685	0.245128702972439
